t_half_months,t_frontier_months,sovereign_floor_pct_of_c0,sovereign_floor_closed_form_pct,sovereign_floor_h100e,cap_60mo_pct,cap_120mo_pct,frontier_share_t0,c0,afr,kappa,useful_life_years,frontier_doubling_months,domestic_per_month,leakage_per_month,utilisation_ceiling,frontier_scale,dom_growth_yr
inf,33.0,78.20190370111746,78.20190368479383,1126378.5498217316,83.43525903657162,79.4937504163087,4.440938642717289,1440346.7134594019,0.1702704037056149,0.340174489582279,5.370523277441132,6.1786458700500155,17108.854009868795,9005.789126673642,1.0,324333.8468144412,0.0
inf,31.0,142.67183907076642,142.67183907121768,1556527.273729368,134.60286115634437,141.17721073329065,2.4567525170383804,1090984.236179445,0.1656406037817743,0.4753602612003132,3.18447197532093,6.15851802819912,27957.34433342232,15572.122950755922,1.0,444075.75798258604,0.0
27.0,36.0,21.631928568359253,21.63192856835905,826149.2367205748,29.8360777443802,22.500955264762457,26.119990099407733,3819119.6596727525,0.1506903890129938,0.3140217476562808,2.375045454616784,5.3045888756321435,20239.142398170272,10378.17379272858,1.0,146214.4374916647,0.0
46.0,42.0,35.76309722523851,35.76309722522919,1566214.0464962318,44.597999860808784,36.99567966919267,18.871470924702262,4379413.887539173,0.1522550121057741,0.3829734209316011,2.6616048755536554,6.338478082717866,35437.37037032562,15608.879937607167,1.0,232065.31727246733,0.0
24.0,31.0,21.353777606923895,21.353777606923803,932567.3511838587,27.60681532209648,21.853494093519814,12.556939933649891,4367224.237089912,0.11129391757138977,0.09986888989846243,2.3341495075198586,5.2816304071841875,28469.69959427461,10138.265205506532,1.0,347793.6710827686,0.0
37.0,45.0,23.946656488387617,23.94665648804958,740753.8484466717,37.14991917092746,26.259356782737807,24.84803873378699,3093349.791048631,0.15201044811307765,0.293645396159032,3.5420551919856385,6.49648766189512,14937.804030958046,6401.875560176051,1.0,124490.70223166005,0.0
inf,41.0,53.92265883268905,53.92265883251179,882612.3429203368,61.79819807611497,55.2894909582203,28.503710135959665,1636811.6150557445,0.07827282931968624,0.3375758540213036,2.896946911920205,5.339113156667528,16031.612944547054,9357.540123398045,1.0,57424.510958339364,0.0
54.0,45.0,29.55312537379064,29.553125311916478,1382626.5006185283,46.98776303787971,33.89671048470843,21.66018242819287,4678444.269873124,0.11976922773977886,0.2458375817548392,4.622893080512311,6.476017988896305,16924.827877863456,14878.795407889866,1.0,215992.83779732464,0.0
32.0,41.0,31.478478166998357,31.478478166998336,1441318.3389281002,37.337061934440605,31.980952433512954,18.621551742220642,4578742.121145997,0.09899982073912747,0.05247821385279672,2.479119790235944,6.3683725338592,43184.979981676624,14744.982147908167,1.0,245884.02645116922,0.0
inf,48.0,146.33264766860447,146.3326488769058,2054180.188073674,131.70284771614106,141.76907243227282,10.419346384644811,1403774.3598583136,0.14267467076593138,0.41415405061847815,5.739123923497172,6.751416743091153,34088.804875653484,5637.051244271309,1.0,134727.6794566579,0.0
22.0,44.0,27.138543379263595,27.13854337926358,1093054.7601616015,30.18934208785754,27.26711312861707,44.750258442352305,4027683.965517465,0.1644161911889489,0.09179782201839769,2.0121113094269156,6.032013849757923,41477.78751644067,14971.710872550737,1.0,90003.59116821559,0.0
inf,37.0,98.00806663954044,98.0080666395403,1458663.0686415345,98.1903151929899,98.03243877137602,16.62263759365655,1488309.1960239224,0.12032240572002169,0.2278799114707109,2.7718860664631078,4.942919666750242,33757.77853816603,14647.822660249987,1.0,89535.08055736497,0.0
inf,37.0,48.7142563603137,48.714256359114756,1569438.9757940676,58.65776235722646,50.65986555254807,9.026164967619977,3221724.1790283197,0.13625872673817377,0.20234153619785952,4.126863509423982,6.20079970842644,31687.74333701166,10604.234741006438,1.0,356931.67481270013,0.0
